sale_id,product_look_id,suggested_sale_price,orig_sale_price,base_price,msrp_price,num_units_available,predicted_num_units_sold,expected_revenue,,,Definitions:,,,,,,,,,Goal:,,,,
1124234873,1108336704,283,529,282.75,995,7,0,0,,,1,expected_revenue,is,suggested_sale_price,*,predicted_num_units_sold,,,,Optimization is done on sale_id level. Different sales are independent,,,,
1124234873,1108336704,290,529,282.75,995,7,0,0,,,2,sell_through,is,predicted_num_units_sold,/,num_units_available,,,,1,Maximize: f,expected_revenue,sell_through,margin
1124234873,1108336704,297,529,282.75,995,7,0,0,,,3,margin,is,(suggested_sale_price - base),/,suggested_sale_price,,,,,Current priorities:,40,10,50
1124234873,1108336704,304,529,282.75,995,7,0,0,,,,,,,,,,,,,,,,
1124234873,1108336704,311,529,282.75,995,7,0,0,,,,,,,,,,,,,,,,
1124234873,1108336704,318,529,282.75,995,7,0,0,,,,,,,,,,,,,,,,
1124234873,1108336704,326,529,282.75,995,7,0,0,,,,,,,,,,,,,,,,
1124234873,1108336704,333,529,282.75,995,7,0,0,,,,,,,,,,,,,,,,
1124234873,1108336704,340,529,282.75,995,7,0,0,,,,,,,,,,,,,,,,
1124234873,1108336704,347,529,282.75,995,7,0,0,,,,,,,,,,,,,,,,
1124234873,1108336704,354,529,282.75,995,7,0,0,,,,,,,,,,,,,,,,
1124234873,1108336704,362,529,282.75,995,7,0,0,,,,,,,,,,,,,,,,
1124234873,1108336704,369,529,282.75,995,7,0,0,,,,,,,,,,,,,,,,
1124234873,1108336704,376,529,282.75,995,7,0,0,,,Rules:,,,,,,,,,,,,,
1124234873,1108336704,383,529,282.75,995,7,0,0,,,All following rules are for num_previous_look_sales == 0 - all records in this sample,,,,,,,,,,,,,
1124234873,1108336704,390,529,282.75,995,7,0,0,,,,,,,,,,,,,,,,
1124234873,1108336704,398,529,282.75,995,7,0,0,,,,,,,,,,,,,,,,
1124234873,1108336704,405,529,282.75,995,7,0,0,,,,,,,,,,,,,,,,
1124234873,1108336704,412,529,282.75,995,7,0,0,,,,,,,,,,,,,,,,
1124234873,1108336704,419,529,282.75,995,7,0,0,,,,,,,,,,,,,,,,
1124234873,1108336704,426,529,282.75,995,7,0,0,,,,,,,,,,,,,,,,
1124234873,1108336704,434,529,282.75,995,7,0,0,,,,,,,,,,,,,,,,
1124234873,1108336704,441,529,282.75,995,7,1,441,,,,,,,,,,,,,,,,
1124234873,1108336704,448,529,282.75,995,7,1,448,,,,,,,,,,,,,,,,
1124234873,1108336704,455,529,282.75,995,7,1,455,,,,,,,,,,,,,,,,
1124234873,1108336704,462,529,282.75,995,7,1,462,,,,,,,,,,,,,,,,
1124234873,1108336704,469,529,282.75,995,7,1,469,,,,,,,,,,,,,,,,
1124234873,1108336704,477,529,282.75,995,7,1,477,,,,,,,,,,,,,,,,
1124234873,1108336704,484,529,282.75,995,7,1,484,,,,,,,,,,,,,,,,
1124234873,1108336704,491,529,282.75,995,7,1,491,,,,,,,,,,,,,,,,
1124234873,1108336704,498,529,282.75,995,7,1,498,,,,,,,,,,,,,,,,
1124234873,1108336704,505,529,282.75,995,7,1,505,,,,,,,,,,,,,,,,
1124234873,1108336704,513,529,282.75,995,7,1,513,,,,,,,,,,,,,,,,
1124234873,1108336704,520,529,282.75,995,7,1,520,,,,,,,,,,,,,,,,
1124234873,1108336704,527,529,282.75,995,7,1,527,,,,,,,,,,,,,,,,
1124234873,1108336704,529,529,282.75,995,7,1,529,,,,,,,,,,,,,,,,
1124234873,1108336704,534,529,282.75,995,7,1,534,,,,,,,,,,,,,,,,
1124234873,1108336704,541,529,282.75,995,7,1,541,,,,,,,,,,,,,,,,
